name,tags
DRIFT21,"Racing,Simulation,Automobile Sim,Driving,Multiplayer,Sports,Realistic,Singleplayer,Building,Indie,First-Person,Atmospheric,Management,Physics,Early Access,Third Person,Family Friendly,Action,Relaxing,Casual,+"
Fishing Planet,"Fishing,Free to Play,Multiplayer,Simulation,Sports,Relaxing,Realistic,Massively Multiplayer,First-Person,Co-op,Open World,Singleplayer,Online Co-Op,Family Friendly,Adventure,Casual,VR,Action,MMORPG,FPS,+"
Farthest Frontier,"Early Access,City Builder,Survival,Colony Sim,Strategy,Building,Military,Simulation,Singleplayer,Sandbox,Resource Management,Management,RTS,Realistic,Old School,Open World Survival Craft,Immersive Sim,3D,Alternate History,4X,+"
Stumble Guys,"Free to Play,Multiplayer,Action,Casual,3D,3D Platformer,Battle Royale,Colorful,Family Friendly,Cute,Cartoony,Nudity,Character Customization,Racing,Massively Multiplayer,PvP,Funny,Physics,Comedy,Indie,+"
SnowRunner - Season 8: Grand Harvest,"Action,Adventure,Simulation,+"
VEGAS 19 Edit Steam Edition,"Video Production,Audio Production,Software,+"
Madshot,"Platformer,Lovecraftian,Fast-Paced,Roguelite,Action,Parkour,Shooter,Action Roguelike,Gore,Dark Fantasy,Singleplayer,Side Scroller,Roguelike,2D,Bullet Time,Procedural Generation,Hand-drawn,Action RPG,Comic Book,Bullet Hell,+"
Against the Storm,"Strategy,Base Building,Simulation,City Builder,Resource Management,Management,Building,Grand Strategy,RTS,Colony Sim,4X,Survival,Sandbox,Singleplayer,Open World,Replay Value,Economy,Historical,Early Access,Moddable,+"
Farm Together,"Agriculture,Multiplayer,Simulation,Relaxing,Casual,Online Co-Op,Building,Farming Sim,Co-op,Cute,Sandbox,Singleplayer,Character Customization,Third Person,Cartoony,Replay Value,Controller,Colony Sim,Female Protagonist,Horses,+"
Tower of Fantasy,"MMORPG,RPG,Anime,Action,Open World,Action-Adventure,Action RPG,3D Platformer,Cinematic,Cartoony,Drama,Sci-fi,Post-apocalyptic,Futuristic,Cyberpunk,Free to Play,Massively Multiplayer,Character Customization,Story Rich,Bullet Time,+"
Stellaris: First Contact Story Pack,"Strategy,Simulation,Space,Sci-fi,+"
Timberborn,"Early Access,City Builder,Colony Sim,Base Building,Survival,Building,Management,Resource Management,Automation,Sandbox,Economy,Singleplayer,Post-apocalyptic,Agriculture,Strategy,Level Editor,3D,Science,Top-Down,Voxel,+"
Propnight,"Multiplayer,Horror,Action,Survival Horror,Online Co-Op,PvP,Co-op,3D,First-Person,Third Person,Stylized,Combat,Asynchronous Multiplayer,Funny,Survival,Casual,Adventure,Controller,Sexual Content,Indie,+"
Warhammer The Horus Heresy: Legions,"Deckbuilding,Card Game,Multiplayer,Free to Play,Board Game,PvP,Strategy,Trading Card Game,Card Battler,Singleplayer,PvE,Adventure,Turn-Based Tactics,Turn-Based Strategy,Warhammer 40K,Turn-Based Combat,Lore-Rich,2D,Tabletop,Story Rich,+"
Expansion - Hearts of Iron IV: Man the Guns,"Strategy,Simulation,World War II,Grand Strategy,War,Naval,Historical,Alternate History,+"
The Binding of Isaac: Repentance,"Action,Adventure,RPG,Roguelike,Difficult,Replay Value,Action Roguelike,Gore,Indie,Singleplayer,Pixel Graphics,Dungeon Crawler,Roguelite,Multiplayer,2D,Dark,Procedural Generation,Great Soundtrack,Atmospheric,Horror,+"
Forts - High Seas,"Strategy,Action,Moddable,Sandbox,Physics,Destruction,+"
Stranded Deep,"Open World Survival Craft,Survival,Multiplayer,Open World,Crafting,First-Person,Adventure,Exploration,Realistic,Singleplayer,Building,Sandbox,Co-op,Simulation,Early Access,Underwater,Action,Atmospheric,Indie,Strategy,+"
WorldBox - God Simulator,"Early Access,God Game,Sandbox,Pixel Graphics,Simulation,Colony Sim,Life Sim,Destruction,Building,Artificial Intelligence,Political Sim,Fantasy,Indie,Medieval,Procedural Generation,Relaxing,Management,Politics,Mythology,Idler,+"
NARUTO TO BORUTO: SHINOBI STRIKER,"Anime,Action,Multiplayer,Character Customization,Fighting,Ninja,Co-op,Open World,PvP,RPG,Massively Multiplayer,Third Person,Adventure,Controller,Team-Based,Singleplayer,Online Co-Op,MMORPG,Strategy,MOBA,+"
Planet of Lana,"Female Protagonist,Anime,Puzzle Platformer,Atmospheric,Controller,2D Platformer,Singleplayer,Side Scroller,Emotional,Sci-fi,Story Rich,Drama,Hand-drawn,Cinematic,Adventure,Platformer,Family Friendly,Stylized,Colorful,Puzzle,+"
