name,tags
American Truck Simulator - New Mexico,"Simulation,Indie,Open World,Driving,America,Multiplayer,Realistic,Singleplayer,+"
Tavern Master,"Management,Simulation,Building,Medieval,Strategy,Resource Management,Indie,City Builder,Top-Down,Relaxing,Time Management,Singleplayer,Atmospheric,Crafting,Stylized,Historical,3D,Adventure,Dungeons & Dragons,Casual,+"
Five Nights at Freddy's 4,"Horror,Survival Horror,Singleplayer,Robots,First-Person,Dark,Difficult,Point & Click,Survival,Psychological Horror,Strategy,Indie,Story Rich,Atmospheric,Action,Family Friendly,Simulation,Jump Scare,Animation & Modeling,Illuminati,+"
LEGO® Bricktales,"Relaxing,LEGO,Puzzle,Building,Sandbox,Isometric,Funny,Adventure,Simulation,Colorful,Controller,Physics,Casual,3D,Atmospheric,Comedy,Exploration,Family Friendly,Narration,Singleplayer,+"
Lunch Lady,"Horror,Online Co-Op,Multiplayer,Co-op,Survival Horror,Dark,Psychological Horror,Procedural Generation,Action,Choices Matter,Team-Based,Exploration,FPS,Collectathon,PvE,First-Person,Walking Simulator,Action-Adventure,Nonlinear,Supernatural,+"
Darkest Dungeon®,"Turn-Based Combat,Dark Fantasy,Dungeon Crawler,Roguelike,RPG,Lovecraftian,Difficult,Turn-Based,Singleplayer,Perma Death,Strategy,Atmospheric,Dark,Indie,2D,Roguelite,Horror,Gothic,Fantasy,Kickstarter,+"
Transformice,"Free to Play,Multiplayer,Funny,Massively Multiplayer,2D,Platformer,Casual,Cute,Racing,Adventure,Online Co-Op,Indie,Survival,Strategy,Mouse only,Co-op,Family Friendly,Comedy,Puzzle,Action,+"
Night of the Dead,"Early Access,Survival,Zombies,Base Building,Open World,Multiplayer,Open World Survival Craft,Female Protagonist,Tower Defense,Building,Sandbox,PvE,Simulation,Hunting,Action,PvP,Survival Horror,Adventure,Third Person,Horror,+"
HighFleet,"Singleplayer,Indie,Strategy,Post-apocalyptic,Action Roguelike,Inventory Management,Tactical,Choices Matter,Strategy RPG,Action,Diplomacy,Exploration,Military,Nonlinear,Simulation,Building,Stylized,Physics,Adventure,Sci-fi,+"
Parkasaurus,"Management,City Builder,Dinosaurs,Building,Simulation,Sandbox,Cute,Comedy,Economy,Isometric,Funny,Resource Management,Colorful,Singleplayer,Family Friendly,Strategy,Casual,Adventure,+"
Uncrashed : FPV Drone Simulator,"Simulation,Sports,Flight,Physics,Racing,Singleplayer,Realistic,First-Person,6DOF,Immersive Sim,3D,Indie,Exploration,Science,Combat Racing,+"
My Gaming Club,"Simulation,Life Sim,Sandbox,America,Artificial Intelligence,Automobile Sim,First-Person,Realistic,Open World,3D,Hidden Object,Time Management,Economy,Colorful,Atmospheric,Management,Driving,Comedy,6DOF,Base Building,+"
Hunt: Showdown - Lonely Howl,"Action,Gore,Violent,Multiplayer,First-Person,FPS,Team-Based,Gun Customization,Hunting,Atmospheric,Perma Death,America,Horror,Shooter,Zombies,Lore-Rich,Survival Horror,Combat,Character Customization,Beautiful,+"
Auto Brawl Chess,"Auto Battler,Multiplayer,PvP,Adventure,Real Time Tactics,Strategy,Card Battler,Action,Trading Card Game,Turn-Based Tactics,Tactical RPG,2D,Atmospheric,Tactical,Fantasy,Team-Based,Turn-Based Combat,Massively Multiplayer,Class-Based,Singleplayer,+"
Fishing Planet: Bottom Power Pack,"Free to Play,Massively Multiplayer,Simulation,Sports,+"
Assetto Corsa Competizione - Challengers Pack,"Simulation,Racing,Sports,Indie,eSports,+"
DJMAX RESPECT V,"Rhythm,Casual,Music,Action,Sports,Anime,Great Soundtrack,Multiplayer,Sexual Content,Singleplayer,Competitive,Difficult,Arcade,Early Access,Nudity,2D,Mature,Cute,Hentai,Indie,+"
Kingdoms and Castles,"City Builder,Colony Sim,Strategy,Medieval,Building,Simulation,Sandbox,Singleplayer,Resource Management,Base Building,Survival,Management,RTS,Economy,Action,Colorful,Great Soundtrack,Relaxing,Open World,Crafting,+"
FAITH: The Unholy Trinity,"Horror,Pixel Graphics,Indie,Psychological Horror,Retro,Story Rich,Atmospheric,Dark,Adventure,Gore,Violent,Blood,Great Soundtrack,Survival Horror,Lovecraftian,Puzzle,Classic,Animation & Modeling,Alternate History,Faith,+"
Kingdom Two Crowns: Norse Lands,"Adventure,Indie,Strategy,Simulation,Vikings,+"
Baldur's Gate: Enhanced Edition,"RPG,Fantasy,Dungeons & Dragons,Isometric,CRPG,Party-Based RPG,Real-Time with Pause,Singleplayer,Story Rich,Character Customization,Old School,Adventure,Co-op,Multiplayer,Magic,Online Co-Op,Action-Adventure,Remake,Atmospheric,Strategy,+"
Deflector,"Roguelite,Hack and Slash,RPG,Difficult,Bullet Hell,Singleplayer,Action Roguelike,Top-Down,Nonlinear,Stylized,Roguelike,Replay Value,Action,Colorful,Combat,Action-Adventure,3D,Demons,Robots,Atmospheric,+"
Tower! Simulator 3,"Simulation,Flight,Software,Realistic,3D,Transportation,Management,Casual,Sandbox,Split Screen,3D Vision,Strategy,Space Sim,Multiplayer,Cinematic,Jet,Logic,Tower Defense,Tactical,Controller,+"
Call to Arms - Gates of Hell: Talvisota,"Strategy,Action,Simulation,RTS,World War II,Singleplayer,Wargame,Multiplayer,Historical,Co-op,Military,Realistic,Level Editor,War,PvP,Real Time Tactics,Online Co-Op,Top-Down,PvE,+"
"Warhammer 40,000: Gladius - Adeptus Mechanicus","Strategy,Wargame,4X,Turn-Based Tactics,War,Fantasy,Tactical,Turn-Based Strategy,Singleplayer,3D,Grand Strategy,Dark Fantasy,Warhammer 40K,+"
Warhammer: Vermintide 2 - Grail Knight Career,"Action,Indie,Gore,Violent,+"
Zombie Gunship Survival,"Action,Strategy,Shooter,Shoot 'Em Up,Arena Shooter,Real Time Tactics,3D,Realistic,Noir,Dark,Military,Survival,Post-apocalyptic,Zombies,War,Base Building,Class-Based,Tower Defense,Time Management,Top-Down Shooter,+"
Deep Rock Galactic - Decontaminator Pack,"Action,+"
Gothic 1,"RPG,Open World,Classic,Atmospheric,Singleplayer,Fantasy,Gothic,Third Person,Action,Medieval,Adventure,Story Rich,Dark Fantasy,Magic,Great Soundtrack,Action RPG,Retro,Difficult,Choices Matter,Nostalgia,+"
We Were Here Too,"Escape Room,Online Co-Op,Puzzle,Co-op,Horror,Action-Adventure,Investigation,Multiplayer,First-Person,Atmospheric,Adventure,Multiple Endings,Co-op Campaign,Psychological Horror,Mystery,Linear,Casual,Dark,Immersive,Indie,+"
Lies of P : Deluxe Upgrade,"RPG,Action,Adventure,Violent,Gore,Souls-like,+"
ATOM RPG Trudograd,"CRPG,Survival,Open World,RPG,Sandbox,Post-apocalyptic,Immersive Sim,Story Rich,Isometric,Turn-Based Combat,Replay Value,Exploration,Turn-Based,Singleplayer,Tactical,Atmospheric,Choices Matter,Turn-Based Strategy,Adventure,Dystopian,+"
Stellaris: Toxoids Species Pack,"Strategy,Simulation,+"
Crossout,"Free to Play,Atmospheric,PvE,Shooter,Vehicular Combat,Combat Racing,Co-op,Third-Person Shooter,Sandbox,Online Co-Op,Action,Combat,Multiplayer,Crafting,Racing,Building,Post-apocalyptic,PvP,Massively Multiplayer,Adventure,+"
BETON BRUTAL,"3D Platformer,Parkour,Precision Platformer,Atmospheric,Casual,Exploration,Post-apocalyptic,Platformer,3D,Psychological Horror,Indie,Realistic,Nature,Singleplayer,Difficult,Horror,Linear,Physics,+"
PULSAR: Lost Colony,"Space,Co-op,Open World,Adventure,Multiplayer,Space Sim,Action,Sci-fi,Online Co-Op,First-Person,Early Access,Indie,VR,Singleplayer,FPS,Colorful,Aliens,Futuristic,Robots,6DOF,+"
Have a Nice Death,"Action Roguelike,Hack and Slash,Funny,Action,Singleplayer,2D,2D Platformer,Dark Humor,Cartoony,Cartoon,Gothic,Controller,Roguelike,Comedy,Roguelite,Early Access,Combat,Indie,Platformer,Metroidvania,+"
Stoneshard,"RPG,Strategy,Roguelike,Open World Survival Craft,Survival,Turn-Based,2D,Singleplayer,Dungeon Crawler,Pixel Graphics,Turn-Based Combat,Indie,Dark Fantasy,Difficult,Sandbox,Replay Value,Medieval,Early Access,Tabletop,Violent,+"
Age of History II,"Strategy,Historical,War,Grand Strategy,Turn-Based Strategy,Turn-Based,Political Sim,Simulation,Sandbox,Singleplayer,World War II,Political,Diplomacy,Multiplayer,Politics,Alternate History,World War I,Indie,Casual,Open World,+"
Motor Town: Behind The Wheel,"Early Access,Open World,Driving,Transportation,Automobile Sim,Simulation,Realistic,Relaxing,Immersive Sim,Economy,Exploration,Atmospheric,Management,Racing,Time Attack,Controller,Multiplayer,3D,Casual,Singleplayer,+"
PlanetSide 2,"Free to Play,FPS,Massively Multiplayer,Shooter,Action,Open World,Multiplayer,Team-Based,Sci-fi,Tactical,War,First-Person,PvP,Futuristic,Co-op,Online Co-Op,Strategy,Space,Adventure,RPG,+"
Webbed,"2D Platformer,Cute,Pixel Graphics,Physics,Puzzle Platformer,Exploration,2D,Platformer,Relaxing,Family Friendly,Action,Indie,Puzzle,Colorful,Cartoony,Nature,Collectathon,Fantasy,Atmospheric,Retro,+"
Animaze Pro 23 - Lifetime License,"Video Production,Animation & Modeling,+"
IL-2 Sturmovik: Battle of Normandy,"Action,Simulation,+"
Fences 4,"Utilities,Software,+"
"Warhammer 40,000: Gladius - Adepta Sororitas","Strategy,+"
Call to Arms - Gates of Hell: Scorched Earth,"Strategy,Action,Simulation,RTS,World War II,PvE,Level Editor,Military,Realistic,Singleplayer,PvP,Real Time Tactics,Online Co-Op,Multiplayer,Historical,+"
MADNESS: Project Nexus,"Gore,Arena Shooter,Beat 'em up,Hack and Slash,Gun Customization,Shooter,Funny,Character Customization,3D,Third Person,Action,Combat,Third-Person Shooter,Controller,Blood,Violent,Atmospheric,Co-op,Local Co-Op,Dark,+"
MechWarrior Online™ Legends,"Free to Play,Mechs,Multiplayer,Action,Shooter,Robots,Sci-fi,Simulation,FPS,Massively Multiplayer,PvP,Strategy,First-Person,Tactical,Team-Based,War,Survival,Walking Simulator,Singleplayer,Open World,+"
Baldur's Gate II: Enhanced Edition,"RPG,Dungeons & Dragons,Story Rich,Fantasy,CRPG,Party-Based RPG,Tabletop,Open World,Real-Time with Pause,Character Customization,Adventure,Choices Matter,Multiplayer,Magic,Online Co-Op,Singleplayer,Atmospheric,Action-Adventure,Isometric,Old School,+"
Hotel Renovator,"Simulation,Adventure,Design & Illustration,Casual,Immersive Sim,Building,Destruction,Family Friendly,Economy,Management,Funny,Education,Trading,Resource Management,Life Sim,Atmospheric,City Builder,Memes,Realistic,First-Person,+"
Orcs Must Die! 3,"Tower Defense,Co-op,Strategy,Third-Person Shooter,PvE,Action,3D,Multiplayer,Third Person,Funny,Online Co-Op,Fantasy,Adventure,Co-op Campaign,Combat,Singleplayer,Stylized,Physics,Comedy,Cartoony,+"
SnowRunner - Navistar 5000-MV Tractor,"Adventure,Simulation,Racing,+"
Fran Bow,"Psychological Horror,Story Rich,Point & Click,Puzzle,Horror,Adventure,Indie,Dark,Singleplayer,Atmospheric,Female Protagonist,Psychological,Gore,Surreal,Dark Fantasy,2D,Fantasy,Hand-drawn,Great Soundtrack,Hidden Object,+"
Way of the Hunter,"Adventure,Shooter,Hunting,Exploration,FPS,Realistic,3D,First-Person,Colorful,Nature,Relaxing,America,Open World,Stealth,Controller,Gun Customization,Singleplayer,Multiplayer,Co-op,Online Co-Op,+"
CarX Drift Racing Online - Season Pass,"Sports,Racing,Simulation,Massively Multiplayer,+"
I Am Fish,"Adventure,Simulation,Physics,3D Platformer,Cartoon,Difficult,Precision Platformer,Cute,3D,Colorful,Fishing,Third Person,Comedy,Platformer,Funny,Dark Humor,Singleplayer,Story Rich,Controller,Replay Value,+"
The Last Stand: Aftermath,"Zombies,Survival,Post-apocalyptic,Top-Down Shooter,Roguelite,Shooter,Action Roguelike,Singleplayer,Adventure,Action,Perma Death,Top-Down,Atmospheric,Violent,Replay Value,Procedural Generation,Dark,Crafting,3D,Action RPG,+"
PC Building Simulator - Esports Expansion,"Simulation,Indie,+"
LISA: The Painful,"Dark Humor,RPG,Story Rich,Post-apocalyptic,Great Soundtrack,Indie,Choices Matter,Psychological Horror,Dark,Pixel Graphics,RPGMaker,Adventure,Funny,Singleplayer,2D,Atmospheric,Comedy,Horror,Side Scroller,Platformer,+"
Assetto Corsa Competizione - American Track Pack,"Racing,Sports,Simulation,+"
Bomber Crew,"World War II,Simulation,Strategy,Management,Flight,Singleplayer,Indie,War,Difficult,Survival,Action,Casual,Military,3D,Roguelike,Cartoony,Perma Death,Roguelite,Cute,Atmospheric,+"
SnowRunner - Season 5: Build & Dispatch,"Adventure,Simulation,Action,+"
Sign of Silence,"Horror,Co-op,Multiplayer,Atmospheric,Singleplayer,Action,4 Player Local,Dark,Adventure,First-Person,Lovecraftian,Character Customization,Multiple Endings,Online Co-Op,Psychological Horror,Local Co-Op,Survival Horror,Action-Adventure,Indie,Local Multiplayer,+"
Turbo Overkill,"FPS,Action,Shooter,Indie,Cyberpunk,Retro,Pixel Graphics,Violent,Fast-Paced,Gore,Combat,Singleplayer,Early Access,Casual,Great Soundtrack,First-Person,+"
Hunt: Showdown - Shrine Maiden's Hell,"Action,Gore,Violent,+"
Broken Edge,"VR,PvP,Swordplay,Historical,Fighting,Martial Arts,3D Fighter,3D,6DOF,First-Person,Action,Surreal,Stylized,Fantasy,Medieval,Class-Based,Combat,Multiplayer,Singleplayer,Tutorial,+"
Granny 3,"Adventure,Horror,First-Person,Action,Puzzle,Comedy,Dark,Funny,Stealth,Singleplayer,Indie,Survival Horror,Violent,Gore,Tactical,Survival,Multiplayer,+"
The Stanley Parable,"Comedy,Narration,Indie,Walking Simulator,First-Person,Funny,Psychological,Satire,Dynamic Narration,Adventure,Exploration,Multiple Endings,Singleplayer,Choices Matter,Story Rich,Short,Surreal,Atmospheric,Puzzle,Casual,+"
POSTAL: Brain Damaged,"Funny,Comedy,Memes,FPS,Action,Shooter,Gore,Soundtrack,Fast-Paced,First-Person,Retro,Violent,Horror,1990's,Old School,Psychedelic,Stylized,Singleplayer,Arcade,Atmospheric,+"
War Thunder - US Starter Pack,"Massively Multiplayer,Simulation,Action,Free to Play,+"
SnowRunner - Clasico Pack,"Adventure,Simulation,Racing,+"
In Sound Mind,"Horror,Psychological Horror,Story Rich,Puzzle,Action,Atmospheric,Singleplayer,Indie,First-Person,Shooter,Action-Adventure,FPS,Platformer,Exploration,3D Platformer,Cats,Psychedelic,Music,Hidden Object,Puzzle Platformer,+"
Hero’s Hour - Rogue Realms,"RPG,Indie,Strategy,+"
Lost in Play,"Puzzle,Indie,Point & Click,Singleplayer,Mystery,Casual,Hand-drawn,Cartoon,Adventure,Female Protagonist,Fantasy,Wholesome,Comedy,Colorful,Surreal,Story Rich,Funny,Family Friendly,Atmospheric,2D,+"
Arma 3 Jets,"Simulation,Action,Strategy,Flight,Violent,Military,Gore,+"
Lords and Villeins,"Colony Sim,Strategy,City Builder,Management,Simulation,Medieval,Building,2D,Sandbox,Indie,Open World,Early Access,Top-Down,Atmospheric,Economy,Funny,Crafting,Resource Management,Singleplayer,Replay Value,+"
SnowRunner - Season 2: Explore & Expand,"Adventure,Simulation,Racing,+"
One Piece Pirate Warriors 3,"Anime,Action,Adventure,Hack and Slash,Pirates,Fighting,Beat 'em up,Multiplayer,Third Person,Musou,Singleplayer,Local Co-Op,Comedy,Story Rich,Co-op,JRPG,Funny,Controller,Great Soundtrack,Open World,+"
Rock of Ages 3: Make & Break,"Strategy,Action,Racing,Indie,Comedy,Funny,Destruction,Multiplayer,Adventure,Casual,Puzzle,Turn-Based Strategy,Arcade,Third Person,Cartoony,Surreal,Building,PvP,Level Editor,Tower Defense,+"
VR Giants,"Early Access,Action,Indie,VR,Asymmetric VR,Local Co-Op,Adventure,Co-op,3D Platformer,Puzzle Platformer,Physics,Local Multiplayer,Platformer,Controller,Team-Based,Co-op Campaign,Multiplayer,Puzzle,Online Co-Op,3D,+"
Above Snakes,"Open World,Atmospheric,Open World Survival Craft,Sandbox,Building,Relaxing,Exploration,Crafting,Western,Female Protagonist,Isometric,RPG,Adventure,Stylized,Colorful,Base Building,Cozy,Singleplayer,Simulation,Survival,+"
Just Shapes & Beats,"Rhythm,Great Soundtrack,Music,Bullet Hell,Difficult,Multiplayer,2D,Indie,Action,Co-op,Singleplayer,Local Multiplayer,Local Co-Op,Online Co-Op,Fast-Paced,4 Player Local,Story Rich,Colorful,Funny,Strategy,+"
Nimbatus - The Space Drone Constructor,"Space Sim,Space,Logic,Action,Roguelike,Survival,Open World,Building,Action Roguelike,Sandbox,Crafting,Sci-fi,Management,Physics,Simulation,Programming,Automation,Destruction,Funny,LEGO,+"
Car Mechanic Simulator 2021 - Drag Racing DLC,"Simulation,Racing,+"
Squad - R&R Pack,"Strategy,Action,Massively Multiplayer,Indie,+"
Midinous,"Utilities,Audio Production,Procedural Generation,Music,Colorful,+"
Torchlight: Infinite,"RPG,Hack and Slash,Loot,Action RPG,Action,Adventure,Combat,Dungeon Crawler,Action-Adventure,Multiplayer,Top-Down,Singleplayer,Drama,Fantasy,Free to Play,Story Rich,Character Customization,Time Travel,Co-op,Magic,+"
Abalon (formerly Summoners Fate),"Turn-Based Tactics,Card Battler,Dungeon Crawler,Roguelite,Roguelike,Grid-Based Movement,Open World,Turn-Based Combat,Strategy,Deckbuilding,Turn-Based Strategy,Tabletop,Fantasy,Turn-Based,Party-Based RPG,Procedural Generation,Class-Based,RPG,Top-Down,Singleplayer,+"
"War Thunder - MiG-21bis ""Lazur-M"" Pack","Action,Massively Multiplayer,Simulation,Free to Play,+"
Bendy and the Dark Revival,"Horror,Action,First-Person,Singleplayer,Adventure,Survival Horror,Indie,Cartoony,Story Rich,Puzzle,Survival,Dark,Action-Adventure,Sequel,Stealth,Combat,Strategy,Atmospheric,Great Soundtrack,Casual,+"
Townsmen VR,"Simulation,Strategy,VR,Casual,Indie,City Builder,Early Access,God Game,3D,Atmospheric,Medieval,Building,Family Friendly,Resource Management,Singleplayer,Experience,Funny,Sandbox,Exploration,Cartoony,+"
HudSight - custom crosshair overlay,"Education,Software Training,Utilities,Video Production,+"
Electrician Simulator,"Simulation,Education,Immersive Sim,Indie,First-Person,Life Sim,Singleplayer,Difficult,Family Friendly,Casual,3D,Relaxing,Replay Value,Realistic,Destruction,Puzzle,Crafting,Funny,Logic,Choices Matter,+"
Who's Lila?,"Choose Your Own Adventure,Horror,Detective,Interactive Fiction,Exploration,Puzzle,Point & Click,Visual Novel,Psychological Horror,Tutorial,3D,Surreal,First-Person,Third Person,Lore-Rich,Multiple Endings,Choices Matter,Nonlinear,Casual,Story Rich,+"
FAR: Lone Sails,"Atmospheric,Adventure,Post-apocalyptic,Singleplayer,Exploration,2.5D,Puzzle,Driving,Indie,Short,Action,Story Rich,Puzzle Platformer,Survival,Platformer,Steampunk,Action-Adventure,Nature,Experience,Cinematic,+"
SnowRunner - Western Star Wolf Pack,"Adventure,Simulation,+"
Magicka,"Comedy,Co-op,Action,Fantasy,Online Co-Op,Magic,RPG,Multiplayer,Adventure,Funny,Local Co-Op,4 Player Local,Indie,Local Multiplayer,Difficult,Singleplayer,Team-Based,Action RPG,Arcade,Strategy,+"
Untitled Goose Game,"Funny,Villain Protagonist,Multiplayer,Co-op,Comedy,Stealth,Indie,Puzzle,Cute,Singleplayer,Family Friendly,Local Co-Op,Colorful,Physics,Third Person,Adventure,Local Multiplayer,Sandbox,Action,Simulation,+"
DCS World Steam Edition,"Simulation,Flight,Free to Play,Multiplayer,Military,Realistic,War,Open World,VR,Singleplayer,Shooter,Action,Co-op,TrackIR,Sandbox,First-Person,Tanks,Strategy,Massively Multiplayer,FPS,+"
TROUBLESHOOTER: Abandoned Children,"JRPG,Party-Based RPG,Choices Matter,Story Rich,Turn-Based,Tactical RPG,Turn-Based Tactics,Turn-Based Strategy,Strategy RPG,Wargame,Turn-Based Combat,Visual Novel,Strategy,Female Protagonist,Lore-Rich,CRPG,RPG,3D,2D,Controller,+"
The Baby In Yellow,"Early Access,Horror,Lovecraftian,Comedy,Adventure,Indie,Puzzle,Mystery,Physics,Surreal,Exploration,Life Sim,Funny,Linear,Simulation,Singleplayer,Stylized,Atmospheric,Psychological,3D,+"
Hunt: Showdown - Commedia Della Morte,"Action,Gore,Violent,Beautiful,Character Customization,Team-Based,Gun Customization,Hunting,America,Battle Royale,Western,Zombies,Survival,FPS,Horror,Tactical,Great Soundtrack,Perma Death,Shooter,PvP,+"
Captain of Industry,"Early Access,Automation,Resource Management,Base Building,Simulation,Strategy,Management,Economy,Colony Sim,Exploration,3D,Crafting,Agriculture,Realistic,Singleplayer,Building,Immersive Sim,Open World,City Builder,Adventure,+"
Crossout – Catalina,"Action,Free to Play,Massively Multiplayer,Racing,+"
The Life and Suffering of Sir Brante,"Choices Matter,RPG,Story Rich,Interactive Fiction,Choose Your Own Adventure,Visual Novel,Indie,Text-Based,Adventure,Simulation,Medieval,Singleplayer,Atmospheric,Strategy,Replay Value,Dark Fantasy,Violent,Management,2D,Tabletop,+"
aerofly RC 8,"Simulation,Flight,3D,VR,Physics,Realistic,Third Person,First-Person,Education,Multiplayer,Singleplayer,Local Multiplayer,Sports,Moddable,PvP,Horror,+"
Scorn,"Gore,Horror,Atmospheric,Puzzle,First-Person,Nudity,Sexual Content,Dark,Adventure,Psychological Horror,Violent,Singleplayer,Lovecraftian,Walking Simulator,Sci-fi,Indie,Surreal,Action,Survival Horror,FPS,+"
Serious Sam 3: BFE,"FPS,Action,Gore,Co-op,Comedy,Online Co-Op,First-Person,Aliens,Multiplayer,Shooter,Old School,Local Co-Op,Indie,Split Screen,Difficult,Funny,Singleplayer,Sci-fi,Adventure,Local Multiplayer,+"
Bio Inc. Redemption,"Medical Sim,Simulation,Strategy,Indie,Gore,Singleplayer,Difficult,Multiplayer,Atmospheric,Outbreak Sim,Sandbox,Early Access,RTS,Education,Post-apocalyptic,Zombies,+"
sheepChat,"Utilities,Video Production,Audio Production,Web Publishing,Design & Illustration,+"
CARRION,"Villain Protagonist,Pixel Graphics,Gore,Action,Indie,Horror,Violent,Adventure,Metroidvania,2D,Singleplayer,Blood,Puzzle,Physics,Lovecraftian,Sci-fi,Platformer,Mature,Great Soundtrack,Atmospheric,+"
Crysis Remastered,"Action,Shooter,FPS,Sci-fi,Sandbox,Stealth,Aliens,Atmospheric,Singleplayer,Futuristic,Cinematic,Adventure,Realistic,Tactical,America,First-Person,Violent,Multiplayer,Survival,Remake,+"
Miss Neko 3,"Nudity,Sexual Content,Hentai,NSFW,Anime,Mature,Cats,FPS,Casual,Match 3,Cute,Singleplayer,Romance,Relaxing,Psychological Horror,Cyberpunk,2D Platformer,Action-Adventure,Puzzle,Horror,+"
Serial Cleaners,"Simulation,Stealth,Crime,Strategy,1990's,Noir,Puzzle,Top-Down,Tactical,Gore,Indie,2.5D,Singleplayer,Action,Blood,Comedy,Adventure,Dinosaurs,3D,Dark Humor,+"
Jagged Alliance 3 Soundtrack,"+,+ Add your own tags"
Stormworks: Search and Destroy,"Simulation,Strategy,War,Sandbox,Multiplayer,Action,Building,Naval,+"
Occult,"Horror,Multiplayer,Co-op,Psychological Horror,3D,First-Person,Online Co-Op,Multiple Endings,Atmospheric,Dark,Action,Indie,Mystery,Violent,Singleplayer,Massively Multiplayer,Early Access,Survival Horror,Adventure,Puzzle,+"
Battle Brothers - Warriors of the North,"RPG,Indie,Strategy,+"
Mechabellum,"Early Access,Auto Battler,Strategy,Mechs,Multiplayer,Robots,Simulation,War,Turn-Based,PvP,Action,Co-op,Singleplayer,RTS,Turn-Based Strategy,Tower Defense,Turn-Based Tactics,Real Time Tactics,Wargame,Action RTS,+"
Ash of Gods: The Way,"Choices Matter,Choose Your Own Adventure,Turn-Based Strategy,Singleplayer,Hand-drawn,Deckbuilding,Card Battler,Dark Fantasy,2D,PvE,Puzzle,Turn-Based Tactics,Nonlinear,Card Game,Difficult,Combat,Strategy,Tactical RPG,Multiple Endings,Story Rich,+"
American Truck Simulator - Montana,"Simulation,Indie,Driving,Open World,+"
A Plague Tale: Innocence - Coats of Arms DLC,"Adventure,Violent,Gore,Story Rich,Female Protagonist,+"
A Little to the Left,"Puzzle,Wholesome,Relaxing,Casual,Cute,Funny,2D,Colorful,Cats,Logic,Hand-drawn,Singleplayer,Indie,Cozy,Hidden Object,Linear,Family Friendly,Pixel Graphics,Multiplayer,Point & Click,+"
Dorfromantik,"Turn-Based Strategy,City Builder,Puzzle,Indie,Relaxing,Simulation,Strategy,Turn-Based Tactics,Board Game,Sandbox,Casual,Logic,Procedural Generation,Controller,Family Friendly,Minimalist,3D,Hand-drawn,Open World,Singleplayer,+"
Tales of Zestiria,"JRPG,Anime,RPG,Fantasy,Open World,Story Rich,Action RPG,Adventure,Great Soundtrack,Singleplayer,Action,Co-op,Multiplayer,Action-Adventure,Local Co-Op,Atmospheric,Cute,Hack and Slash,Third Person,Character Customization,+"
Rogue Company,"Free to Play,Multiplayer,Shooter,Third-Person Shooter,Action,PvP,Third Person,Competitive,Hero Shooter,Controller,Battle Royale,Team-Based,Tactical,Online Co-Op,Co-op,FPS,Sexual Content,First-Person,Singleplayer,Open World,+"
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,"Realistic,World War II,FPS,Multiplayer,Historical,Action,Tactical,First-Person,Shooter,Military,Team-Based,War,Simulation,Atmospheric,Tanks,Singleplayer,Gore,Difficult,Co-op,Strategy,+"
Beyond: Two Souls,"Adventure,Choices Matter,Story Rich,Female Protagonist,Cinematic,Singleplayer,Emotional,Sci-fi,Dynamic Narration,Quick-Time Events,Third Person,Narration,Atmospheric,Horror,Thriller,Co-op,Great Soundtrack,Beautiful,Violent,Drama,+"
Apewar,"Action,Casual,Shooter,Action-Adventure,3D Platformer,Multiplayer,FPS,Third-Person Shooter,Strategy,3D,Massively Multiplayer,Indie,First-Person,Psychological Horror,Third Person,Stylized,Early Access,Driving,Nature,PvP,+"
SnowRunner - GMC Brigadier,"Adventure,Simulation,Action,+"
Dark Chess,"Chess,Strategy,Turn-Based Strategy,Puzzle,Turn-Based Tactics,Tabletop,Multiplayer,Board Game,Time Travel,Singleplayer,Narration,Dark Fantasy,Casual,Dark,2D,Artificial Intelligence,Turn-Based Combat,PvP,Tactical,Psychological Horror,+"
Melatonin,"Rhythm,Indie,Cute,Hand-drawn,Colorful,Action,2D,Singleplayer,Surreal,Puzzle,Music,Comedy,Arcade,Score Attack,Relaxing,Controller,Music-Based Procedural Generation,Great Soundtrack,Cozy,Psychological Horror,+"
Anarchy: Wolf's law,"Action,Survival,Atmospheric,Looter Shooter,Open World,Adventure,PvP,Realistic,Zombies,Multiplayer,Crafting,FPS,First-Person,Singleplayer,Shooter,Heist,PvE,Arcade,Tactical,Post-apocalyptic,+"
Wargame: Red Dragon - Double Nation Pack: REDS,"Strategy,+"
A Hero's Rest,"Early Access,City Builder,Medieval,Simulation,Strategy,Resource Management,Time Management,Crafting,Colony Sim,Base Building,Building,Inventory Management,Character Customization,Stylized,Top-Down,Management,Economy,Fantasy,Immersive Sim,Strategy RPG,+"
"Warhammer 40,000: Gladius - Firepower Pack","Strategy,+"
SGS Korean War,"Strategy,Turn-Based Strategy,Wargame,Political Sim,2D,War,Cold War,Historical,Military,PvP,Simulation,Singleplayer,Multiplayer,+"
KovaaK's,"Action,Shooter,Simulation,FPS,Indie,First-Person,Software Training,Singleplayer,Controller,Multiplayer,+"
Cozy Grove,"Relaxing,Cute,Story Rich,Collectathon,Hidden Object,Cozy,Atmospheric,Colorful,Life Sim,Procedural Generation,2D,Management,Cartoony,Casual,Funny,Character Customization,Crafting,Singleplayer,Indie,Surreal,+"
Stellaris: Apocalypse,"Strategy,Simulation,4X,Space,Grand Strategy,Post-apocalyptic,+"
SnowRunner - Season 7: Compete & Conquer,"Adventure,Simulation,Action,+"
